Schema,Name,Result data type,Argument data types,Type,Volatility,Parallel,Owner,Security,Access privileges,Language,Source code,Description
pg_catalog,numeric_log,numeric,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_log,logarithm base m of n
pg_catalog,numeric_lt,boolean,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_lt,implementation of < operator
pg_catalog,numeric_mod,numeric,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_mod,implementation of % operator
pg_catalog,numeric_mul,numeric,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_mul,implementation of * operator
pg_catalog,numeric_ne,boolean,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_ne,implementation of <> operator
pg_catalog,numeric_out,cstring,numeric,func,immutable,safe,postgres,invoker,,internal,numeric_out,I/O
pg_catalog,numeric_pl_pg_lsn,pg_lsn,"numeric, pg_lsn",func,immutable,safe,postgres,invoker,,sql,RETURN ($2 + $1),implementation of + operator
pg_catalog,numeric_poly_avg,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_poly_avg,aggregate final function
pg_catalog,numeric_poly_combine,internal,"internal, internal",func,immutable,safe,postgres,invoker,,internal,numeric_poly_combine,aggregate combine function
pg_catalog,numeric_poly_deserialize,internal,"bytea, internal",func,immutable,safe,postgres,invoker,,internal,numeric_poly_deserialize,aggregate deserial function
pg_catalog,numeric_poly_serialize,bytea,internal,func,immutable,safe,postgres,invoker,,internal,numeric_poly_serialize,aggregate serial function
pg_catalog,numeric_poly_stddev_pop,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_poly_stddev_pop,aggregate final function
pg_catalog,numeric_poly_stddev_samp,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_poly_stddev_samp,aggregate final function
pg_catalog,numeric_poly_sum,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_poly_sum,aggregate final function
pg_catalog,numeric_poly_var_pop,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_poly_var_pop,aggregate final function
pg_catalog,numeric_poly_var_samp,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_poly_var_samp,aggregate final function
pg_catalog,numeric_power,numeric,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_power,implementation of ^ operator
pg_catalog,numeric_recv,numeric,"internal, oid, integer",func,immutable,safe,postgres,invoker,,internal,numeric_recv,I/O
pg_catalog,numeric_send,bytea,numeric,func,immutable,safe,postgres,invoker,,internal,numeric_send,I/O
pg_catalog,numeric_serialize,bytea,internal,func,immutable,safe,postgres,invoker,,internal,numeric_serialize,aggregate serial function
pg_catalog,numeric_smaller,numeric,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_smaller,smaller of two
